題目,正確答案,選項一,選項二,選項三,選項四
問題#1⼀家公司收集多個⼤陸城市的溫度、濕度和氣壓資料。該公司每天從每個站點收集的平均數據量為 500 GB。每個站點都有⾼速網路連線。該公司希望盡快將所有這些全球站點的資料聚合到單⼀ Amazon S3 儲存桶中。此解決⽅案必須最⼤限度地降低操作複雜性。哪種解決⽅案滿⾜這些要求？,, 在⽬標 S3 儲存桶上啟⽤ S3 傳輸加速。使⽤分段上傳將網站資料直接上傳到⽬標S3儲存桶。, 將每個站點的資料上傳到最近區域的 S3 儲存桶。使⽤S3跨區域複製將物件複製到⽬標S3儲存桶。然後從原始 S3 儲存桶中刪除資料。, 每天安排 AWS Snowball Edge Storage Optimized 設備作業，將資料從每個站點傳輸到最近的區域。使⽤S3跨區域複製將物件複製到⽬標S3儲存桶。, 將每個站點的資料上傳到最近區域中的 Amazon EC2 執⾏個體。將資料儲存在 Amazon Elastic Block Store (Amazon EBS) 磁碟區中。定期拍攝 EBS 快照並將其複製到包含⽬標 S3 儲存桶的區域。恢復該區域中的 EBS 磁碟區。
問題2公司需要能夠分析其專有應⽤程式的⽇誌檔案。⽇誌以 JSON 格式儲存在 Amazon S3 儲存桶中。查詢將很簡單並且將按需運⾏。解決⽅案架構師需要在對現有架構進⾏最⼩變更的情況下執⾏分析。解決⽅案架構師應該如何做才能以最少的營運開銷來滿⾜這些要求？,, 使⽤ Amazon Redshift 將所有內容載入到⼀處並根據需要執⾏ SQL 查詢。, 使⽤ Amazon CloudWatch Logs 儲存⽇誌。根據需要從 Amazon CloudWatch 主控台執⾏ SQL 查詢。, 直接將 Amazon Athena 與 Amazon S3 結合使⽤以根據需要執⾏查詢。, 使⽤ AWS Glue 對⽇誌進⾏編⽬。使⽤ Amazon EMR 上的臨時 Apache Spark 叢集根據需要執⾏ SQL 查詢。
問題#3⼀家公司使⽤ AWS Organizations 管理不同部⾨的多個 AWS 帳⼾。管理帳⼾有⼀個包含專案報告的 Amazon S3 儲存桶。該公司希望僅限 AWS Organizations 中組織內帳⼾的使⽤者存取此 S3 儲存桶。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 將 aws PrimaryOrgID 全域條件鍵以及對組織 ID 的引⽤新增⾄ S3 儲存桶策略。, 為每個部⾨創建⼀個組織單位 (OU)。將 aws:PrincipalOrgPaths 全域條件鍵新增⾄ S3 儲存桶策略。, 使⽤ AWS CloudTrail 監控 CreateAccount、InviteAccountToOrganization、LeaveOrganization 和 RemoveAccountFromOrganization 事件。相應地更新 S3 儲存桶策略。, 標記需要存取 S3 儲存桶的每個使⽤者。將 aws:PrincipalTag 全域條件鍵新增⾄ S3 儲存桶策略。
問題#4應⽤程式在 VPC 中的 Amazon EC2 執⾏個體上執⾏。該應⽤程式處理儲存在 Amazon S3 儲存桶中的⽇誌。EC2 執⾏個體需要在不連接網路的情況下存取 S3 儲存桶。哪種解決⽅案將提供與 Amazon S3 的專⽤網路連線？,, 建立 S3 儲存桶的閘道 VPC 終端節點。, 將⽇誌串流傳輸到 Amazon CloudWatch Logs。將⽇誌匯出到 S3 儲存桶。, 在 Amazon EC2 上建立執⾏個體設定檔以允許 S3 存取。, 使⽤專⽤連結建立 Amazon API Gateway API 以存取 S3 終端節點。
問題#5⼀家公司使⽤單⼀ Amazon EC2 執⾏個體在 AWS 上託管 Web 應⽤程序，該執⾏個體將使⽤者上傳的文件儲存在 Amazon EBS 磁碟區中。為了獲得更好的可擴展性和可⽤性，該公司複製了架構，並在另⼀個可⽤區中創建了第⼆個 EC2 執⾏個體和 EBS 卷，將兩者放置在應⽤程式負載平衡器後⾯。完成此更改後，使⽤者報告說，每次刷新網站時，他們都可以看到文件的⼦集或另⼀個⼦集，但永遠不會同時看到所有文件。解決⽅案架構師應該提出什麼建議來確保使⽤者立即看到他們的所有文件？,, 複製數據，使兩個 EBS 磁碟區都包含所有文檔, 配置應⽤程式負載平衡器以將使⽤者導向到包含文件的伺服器, 將資料從兩個 EBS 磁碟區複製到 Amazon EFS。修改應⽤程式以將新文件儲存到 Amazon EFS, 設定應⽤程式負載平衡器以將請求傳送到兩台伺服器。從正確的伺服器傳回每個文檔
問題#6⼀家公司使⽤ NFS 將⼤型視訊檔案儲存在本地網路附加儲存中。每個影片檔案的⼤⼩範圍從 1 MB 到 500 GB。總儲存量為 70 TB，且不再成⻑。該公司決定將視訊檔案移轉到 Amazon S3。公司必須在使⽤盡可能少的網路頻寬的情況下盡快遷移視訊檔案。哪種解決⽅案可以滿⾜這些要求？,, 建立 S3 儲存桶。建立⼀個有權寫入 S3 儲存桶的 IAM ⾓⾊。使⽤ AWS CLI 將所有檔案本機複製到 S3 儲存桶。, 建立 AWS Snowball Edge 作業。在本地接收 Snowball Edge 裝置。使⽤ Snowball Edge ⽤⼾端將資料傳輸到裝置。返回設備，以便AWS 可以將資料匯入 Amazon S3。, 在本機部署 S3 檔案閘道。建立公共服務端點以連接到 S3 檔案閘道。建立 S3 儲存桶。在 S3 檔案閘道上建立新的 NFS 檔案共⽤。將新檔案共⽤指向 S3 儲存桶。將資料從現有 NFS 檔案共⽤傳輸到 S3 檔案閘道。, 在本機網路和 AWS 之間設定 AWS Direct Connect 連線。在本地部署 S3 檔案網關。建立公共虛擬介⾯ (VIF) 以連接到 S3 檔案閘道。建立 S3 儲存桶。在 S3 檔案閘道上建立新的 NFS 檔案共⽤。將新檔案共⽤指向 S3 儲存桶。將資料從現有 NFS 檔案共⽤傳輸到 S3 檔案閘道。
"問題#7⼀家公司有⼀個接收傳入訊息的應⽤程式。然後，數⼗個其他應⽤程式和微服務快速消耗這些訊息。訊息數量變化很⼤，有時突然增加到每秒 100,000 則。該公司希望解耦解決⽅案並提⾼可擴展性。哪種解決⽅案滿⾜這些要求？",, 將訊息保留到 Amazon Kinesis Data Analytics。配置消費者應⽤程式以讀取和處理訊息。, 在 Auto Scaling 群組中的 Amazon EC2 執⾏個體上部署擷取應⽤程序，以根據 CPU 指標擴展 EC2 執⾏個體的數量。, 使⽤單⼀分片將訊息寫入 Amazon Kinesis Data Streams。使⽤ AWS Lambda 函數預處理訊息並將其儲存在 Amazon DynamoDB中。將使⽤者應⽤程式設定為從 DynamoDB 讀取來處理訊息。, 將訊息發佈到具有多個 Amazon Simple Queue Service (Amazon SOS) 訂閱的 Amazon Simple Notication Service (Amazon SNS) 主題。配置⽤⼾應⽤程式以處理來⾃佇列的訊息。
問題#8⼀家公司正在將分散式應⽤程式遷移到 AWS。該應⽤程式服務於可變的⼯作負載。舊平台由⼀個主伺服器組成，⽤於協調多個計算節點之間的作業。該公司希望透過可最⼤限度提⾼彈性和可擴展性的解決⽅案來實現應⽤程式的現代化。解決⽅案架構師應該如何設計架構來滿⾜這些要求？,, 將 Amazon Simple Queue Service (Amazon SQS) 佇列配置為作業的⽬標。使⽤ Auto Scaling 群組中管理的 Amazon EC2 執⾏個體實作運算節點。配置 EC2 Auto Scaling 以使⽤計劃的擴展。, 將 Amazon Simple Queue Service (Amazon SQS) 佇列配置為作業的⽬標。使⽤ Auto Scaling 群組中管理的 Amazon EC2 執⾏個體實作運算節點。根據佇列⼤⼩配置 EC2 Auto Scaling。, 使⽤ Auto Scaling 群組中管理的 Amazon EC2 執⾏個體實作主伺服器和運算節點。將 AWS CloudTrail 配置為作業的⽬標。根據主伺服器上的負載配置 EC2 Auto Scaling。, 使⽤ Auto Scaling 群組中管理的 Amazon EC2 執⾏個體實作主伺服器和運算節點。將 Amazon EventBridge (Amazon CloudWatchEvents) 配置為作業的⽬標。根據運算節點上的負載配置 EC2 Auto Scaling。
問題#9⼀家公司正在其資料中⼼運⾏ SMB 檔案伺服器。文件伺服器儲存⼤文件，這些文件在文件建立後的前幾天會被頻繁存取。7 天后，這些文件就很少被存取。總資料規模不斷增加，接近公司總儲存容量。解決⽅案架構師必須增加公司的可⽤儲存空間，同時⼜不失去對最近存取的檔案的低延遲存取。解決⽅案架構師還必須提供文件⽣命週期管理，以避免未來出現儲存問題。哪種解決⽅案可以滿⾜這些要求？,, 使⽤ AWS DataSync 將超過 7 天的資料從 SMB 檔案伺服器複製到 AWS。, 建立 Amazon S3 檔案閘道以擴充公司的儲存空間。創建 S3 ⽣命週期策略以在 7 天後將資料轉移到 S3 Glacier Deep Archive。, 建立 Amazon FSx for Windows File Server 檔案系統以擴充公司的儲存空間。, 在每個使⽤者的電腦上安裝實⽤程式以存取 Amazon S3。建立 S3 ⽣命週期策略以在 7 天後將資料過渡到 S3 Glacier 靈活檢索。
問題#10⼀家公司正在 AWS 上建立電⼦商務 Web 應⽤程式。該應⽤程式將有關新訂單的資訊傳送⾄ Amazon API Gateway REST API 進⾏處理。該公司希望確保訂單按照收到的順序進⾏處理。哪種解決⽅案可以滿⾜這些要求？,, 當應⽤程式收到訂單時，使⽤ API Gateway 整合將訊息發佈到 Amazon Simple Notication Service (Amazon SNS) 主題。訂閱 AWSLambda 函數到主題以執⾏處理。, 當應⽤程式收到訂單時，使⽤ API Gateway 整合將訊息傳送到 Amazon Simple Queue Service (Amazon SQS) FIFO 佇列。配置 SQSFIFO 佇列以呼叫 AWS Lambda 函數進⾏處理。, 在應⽤程式處理訂單時，使⽤ API 閘道授權者封鎖任何要求。, 當應⽤程式收到訂單時，使⽤ API Gateway 整合將訊息傳送到 Amazon Simple Queue Service (Amazon SQS) 標準佇列。配置 SQS標準佇列以呼叫 AWS Lambda 函數進⾏處理。
